index,Batch_Loss
0,131.04244995117188
1,39.225379943847656
2,26.745988845825195
3,26.62593650817871
4,19.954391479492188
5,22.50493812561035
6,21.97873878479004
7,19.765567779541016
8,19.231220245361328
9,19.65129852294922
10,17.09491729736328
11,15.623963356018066
12,15.981159210205078
13,16.52825355529785
14,13.106437683105469
15,16.985631942749023
16,13.848024368286133
17,12.213865280151367
18,12.797737121582031
19,14.686447143554688
20,13.325848579406738
21,10.920286178588867
22,15.652374267578125
23,9.932817459106445
24,11.915130615234375
25,15.523382186889648
26,11.927652359008789
27,11.905278205871582
28,11.423369407653809
29,10.351515769958496
30,9.29273796081543
31,11.529006004333496
32,12.843317031860352
33,10.89026927947998
34,12.522150993347168
35,12.056918144226074
36,12.89608383178711
37,14.045393943786621
38,9.773193359375
39,10.133307456970215
40,9.77332878112793
41,9.880403518676758
42,8.222951889038086
43,12.006296157836914
44,9.42182731628418
45,9.912105560302734
46,9.647939682006836
47,8.425169944763184
48,8.443063735961914
49,10.389695167541504
50,8.053098678588867
51,11.514216423034668
52,8.65152359008789
53,9.741511344909668
54,8.186064720153809
55,9.662039756774902
56,9.5267333984375
57,8.260625839233398
58,10.452627182006836
59,9.227718353271484
