,Batch_Loss
0,123.34194946289062
1,77.88506317138672
2,57.86249542236328
3,56.79286193847656
4,31.229888916015625
5,50.926841735839844
6,32.85100173950195
7,45.89339065551758
8,33.9395751953125
9,70.3216781616211
10,36.18208694458008
11,54.65456008911133
12,40.12754440307617
